Titulo;Link
Bayern Munich v Borussia Dortmund: Bundesliga – live!;https://www.theguardian.com/football/live/2019/apr/06/bayern-munich-v-borussia-dortmund-bundesliga-live
Bournemouth v Burnley, Newcastle v Crystal Palace and more – live!;https://www.theguardian.com/football/live/2019/apr/06/bournemouth-v-burnley-newcastle-v-crystal-palace-and-more-live
Grand National day 2019: news, tips and updates from Aintree – live!;https://www.theguardian.com/sport/live/2019/apr/06/grand-national-day-2019-live
County cricket: Notts v Yorkshire, Somerset v Kent and more – live!;https://www.theguardian.com/sport/live/2019/apr/06/county-cricket-notts-v-yorkshire-somerset-v-kent-and-more-live
Brexit: Ireland’s Leo Varadkar says EU27 ‘unlikely’ to veto delay;https://www.theguardian.com/world/2019/apr/06/ireland-taoiseach-leo-varadkar-says-eu27-unlikely-to-veto-delay-to-brexit
RAF and Royal Navy urged to cut ties to sultan of Brunei over anti-gay law;https://www.theguardian.com/world/2019/apr/06/oxford-university-navy-raf-must-cut-ties-sultan-brunei-gay-death-stoning-law
Five damaging myths about video games – let’s shoot em up;https://www.theguardian.com/games/2019/apr/06/five-damaging-myths-about-video-games-lets-shoot-em-up
Homecoming is just the start of the challenge for Superdry’s founders;https://www.theguardian.com/business/2019/apr/06/superdry-homecoming-just-start-of-challenge
Mike Ashley: make me Debenhams CEO and I'll back £150m rescue;https://www.theguardian.com/business/2019/apr/06/mike-ashley-make-me-debenhams-ceo-back-150m-rescue
Happy As Lazzaro review – mesmerising magical realism;https://www.theguardian.com/film/2019/apr/06/happy-as-lazzaro-review-alice-rohrwacher
